Meal Name,sep,Description,sep,Ingredients,sep
Mansaf,-,"Fuel your body and mind. The high-quality protein from the tender lamb aids in muscle repair after workouts, while the healthy fats in the almonds support brain function for those long study sessions. A traditional dish that provides lasting energy.",-,"Lamb, Shank, bone-in, cooked (250g)
Yogurt, plain, whole milk (Jameed Sauce base) (150g)
Rice, white, long-grain, regular, cooked (with Turmeric) (200g)
Nuts, almonds, blanched (15g)
Parsley, fresh (5g)",-
منسف,-,"اشحن جسمك وعقلك. البروتين عالي الجودة من لحم الضأن الطري يساعد على استشفاء العضلات بعد التمرين، بينما تدعم الدهون الصحية في اللوز وظائف الدماغ لجلسات المذاكرة الطويلة. طبق تقليدي يمنحك طاقة تدوم.",-,"لحم ضأن، موزة بالعظم، مطبوخ (250 جرام)
لبن زبادي، كامل الدسم (أساس صوص الجميد) (150 جرام)
أرز، أبيض، طويل الحبة، عادي، مطبوخ (مع الكركم) (200 جرام)
مكسرات، لوز، مقشر (15 جرام)
بقدونس، طازج (5 جرام)",-
Grilled Chicken Breast,-,"Lean and powerful. Packed with lean protein to keep you focused in class and support muscle growth. The complex carbs from the potatoes offer sustained energy, while the greens and broccoli provide essential vitamins to boost your immune system during stressful exam periods.",-,"Chicken, breast, skinless, boneless, grilled (200g)
Potatoes, mashed, prepared from granules (150g)
Mushrooms, white, cooked (30g)
Broccoli, cooked, boiled, drained (50g)
Salad: Arugula, raw (40g), Tomatoes, red, ripe, raw (30g), Cucumbers, with peel, raw (30g)
Dressing, vinaigrette (20g)",-
صدر دجاج مشوي,-,"خفيف وقوي. مليء بالبروتين الخالي من الدهون للحفاظ على تركيزك في المحاضرات ودعم نمو العضلات. توفر الكربوهيدرات المعقدة من البطاطس طاقة مستدامة، بينما تمنحك الخضروات والبروكلي فيتامينات أساسية لتعزيز مناعتك خلال فترات الاختبارات المجهدة.",-,"دجاج، صدر، بدون جلد وعظم، مشوي (200 جرام)
بطاطس، مهروسة، محضرة من حبيبات (150 جرام)
فطر، أبيض، مطبوخ (30 جرام)
بروكلي، مطبوخ، مسلوق، مصفى (50 جرام)
سلطة: جرجير، طازج (40 جرام)، طماطم، حمراء، ناضجة، طازجة (30 جرام)، خيار، بقشره، طازج (30 جرام)
صلصة، فينيجريت (20 جرام)",-
Grilled Steak Platter,-,"Energize and perform. The iron-rich steak helps fight fatigue and improves concentration, perfect for pulling an all-nighter. A balanced plate with fiber-rich vegetables for digestive health and the energy you need to stay active.",-,"Beef, steak, cooked (180g)
Potatoes, mashed, prepared from granules (150g)
Vegetables, mixed, steamed (Broccoli, Carrots, Baby Corn) (100g)
Salad, mixed greens (100g)
Sauce, brown, ready-to-serve (30g)",-
طبق ستيك مشوي,-,"طاقة وأداء. الستيك الغني بالحديد يساعد على محاربة التعب وتحسين التركيز، وهو مثالي للسهر للدراسة. طبق متوازن يحتوي على خضروات غنية بالألياف لصحة الجهاز الهضمي والطاقة التي تحتاجها للبقاء نشيطًا.",-,"لحم بقر، ستيك، مطبوخ (180 جرام)
بطاطس، مهروسة، محضرة من حبيبات (150 جرام)
خضروات، مشكلة، مطهوة بالبخار (بروكلي، جزر، ذرة صغيرة) (100 جرام)
سلطة، خضروات ورقية مشكلة (100 جرام)
صلصة، بنية، جاهزة للتقديم (30 جرام)",-
Roasted Half Chicken,-,"The smart choice for recovery. A generous portion of high-quality protein to rebuild muscle, paired with energy-boosting rice. The healthy fats from almonds contribute to better cognitive function, helping you ace your next exam.",-,"Chicken, broiler or fryer, meat and skin, roasted (300g)
Rice, white, with vermicelli, cooked (200g)
Nuts, almonds, slivered (15g)
Salad: Mixed greens (60g), Feta cheese (30g), Tomato (20g), Cucumber (20g)",-
نصف دجاجة مشوية,-,"الاختيار الذكي للاستشفاء. حصة سخية من البروتين عالي الجودة لإعادة بناء العضلات، مع أرز يعزز الطاقة. تساهم الدهون الصحية من اللوز في تحسين الوظائف الإدراكية، مما يساعدك على التفوق في اختبارك التالي.",-,"دجاج، لحم وجلد، مشوي (300 جرام)
أرز، أبيض، بالشعيرية، مطبوخ (200 جرام)
مكسرات، لوز، شرائح (15 جرام)
سلطة: خضروات ورقية مشكلة (60 جرام)، جبنة فيتا (30 جرام)، طماطم (20 جرام)، خيار (20 جرام)",-
Oozi,-,"A complete, balanced meal. The perfect combination of protein, carbs, and vegetables to keep you going. Fiber from the peas and carrots aids digestion, while the probiotics in the cool yogurt sauce support a healthy gut.",-,"Rice, white, long-grain, regular, cooked (250g)
Beef, ground, 90% lean meat / 10% fat, cooked (100g)
Peas, green, cooked (40g)
Carrots, cooked (40g)
Nuts, pine nuts, dried (20g)
Sauce, yogurt, cucumber (Tzatziki) (100g)",-
أوزي,-,"وجبة كاملة ومتوازنة. المزيج المثالي من البروتين والكربوهيدرات والخضروات لتبقى نشيطًا. الألياف من البازلاء والجزر تساعد على الهضم، بينما تدعم البروبيوتيك في صلصة الزبادي صحة الأمعاء.",-,"أرز، أبيض، طويل الحبة، عادي، مطبوخ (250 جرام)
لحم بقر، مفروم، 90% لحم صافي / 10% دهن، مطبوخ (100 جرام)
بازلاء، خضراء، مطبوخة (40 جرام)
جزر، مطبوخ (40 جرام)
مكسرات، صنوبر، مجفف (20 جرام)
صلصة، زبادي، خيار (تزاتزيكي) (100 جرام)",-
